Date,Store_Type,District,Time_Slot,SKU_Name,Category,Expiry_Date,Temp,Item_Traffic,Import,Sold,Waste,Cost,Price,Revenue,Op_Cost,Waste_Loss,Net_Profit
2024-01-01,Premium_Urban,Q1,6:00-7:00,Salmon Fillet,Seafood,2024-01-03,28.6,1.18,100,4,0,36287,48987,195948,24020,0,26779
2024-01-01,Premium_Urban,Q1,7:00-8:00,Salmon Fillet,Seafood,2024-01-03,30.6,0.37,0,1,0,74095,100028,100028,30266,0,-4333
2024-01-01,Premium_Urban,Q1,8:00-9:00,Salmon Fillet,Seafood,2024-01-03,31.5,0.73,0,2,0,72113,97352,194704,31747,0,18730
2024-01-01,Premium_Urban,Q1,9:00-10:00,Salmon Fillet,Seafood,2024-01-03,33.7,1.11,0,4,0,61613,83177,332708,34972,0,51283
2024-01-01,Premium_Urban,Q1,10:00-11:00,Salmon Fillet,Seafood,2024-01-03,34.6,1.11,0,2,0,35437,47839,95678,34760,0,-9956
2024-01-01,Premium_Urban,Q1,11:00-12:00,Salmon Fillet,Seafood,2024-01-03,34.9,2.55,0,5,0,40411,54554,272770,35648,0,35066
2024-01-01,Premium_Urban,Q1,12:00-13:00,Salmon Fillet,Seafood,2024-01-03,35.9,2.43,0,9,0,74812,100996,908964,39856,0,195799
2024-01-01,Premium_Urban,Q1,13:00-14:00,Salmon Fillet,Seafood,2024-01-03,35.0,2.68,0,10,0,61372,82852,828520,37296,0,177503
2024-01-01,Premium_Urban,Q1,14:00-15:00,Salmon Fillet,Seafood,2024-01-03,33.7,1.09,0,3,0,57160,77166,231498,34661,0,25356
2024-01-01,Premium_Urban,Q1,15:00-16:00,Salmon Fillet,Seafood,2024-01-03,34.0,0.64,0,2,0,77717,104917,209834,36640,0,17759
2024-01-01,Premium_Urban,Q1,16:00-17:00,Salmon Fillet,Seafood,2024-01-03,30.8,0.42,0,0,0,84184,113648,0,31332,0,-31332
2024-01-01,Premium_Urban,Q1,17:00-18:00,Salmon Fillet,Seafood,2024-01-03,30.3,0.87,0,2,0,37858,51108,102216,27190,0,-690
2024-01-01,Premium_Urban,Q1,18:00-19:00,Salmon Fillet,Seafood,2024-01-03,27.3,1.12,0,2,0,84984,114728,229456,25088,0,34399
2024-01-01,Premium_Urban,Q1,19:00-20:00,Salmon Fillet,Seafood,2024-01-03,26.7,0.95,0,2,0,49204,66425,132850,21504,0,12937
2024-01-01,Premium_Urban,Q1,20:00-21:00,Salmon Fillet,Seafood,2024-01-03,23.8,1.08,0,3,0,53803,72634,217902,16606,0,39886
2024-01-01,Premium_Urban,Q1,21:00-22:00,Salmon Fillet,Seafood,2024-01-03,22.2,0.58,0,2,47,61206,82628,165256,14244,2876682,-2848082
2024-01-01,Premium_Urban,Q1,6:00-7:00,Sushi Box,RTE,2024-01-02,28.9,1.18,97,3,0,54659,73789,221367,25846,0,31543
2024-01-01,Premium_Urban,Q1,7:00-8:00,Sushi Box,RTE,2024-01-02,30.0,0.37,0,1,0,51597,69655,69655,27611,0,-9553
2024-01-01,Premium_Urban,Q1,8:00-9:00,Sushi Box,RTE,2024-01-02,30.7,0.73,0,2,0,63404,85595,171190,29698,0,14683
2024-01-01,Premium_Urban,Q1,9:00-10:00,Sushi Box,RTE,2024-01-02,32.3,1.11,0,4,0,50888,68698,274792,31702,0,39537
2024-01-01,Premium_Urban,Q1,10:00-11:00,Sushi Box,RTE,2024-01-02,33.8,1.11,0,3,0,63672,85957,257871,35297,0,31557
2024-01-01,Premium_Urban,Q1,11:00-12:00,Sushi Box,RTE,2024-01-02,34.0,11.17,0,33,0,35409,47802,1577466,33678,0,375290
2024-01-01,Premium_Urban,Q1,12:00-13:00,Sushi Box,RTE,2024-01-02,34.5,10.62,0,21,0,68106,91943,1930803,36867,0,463709
2024-01-01,Premium_Urban,Q1,13:00-14:00,Sushi Box,RTE,2024-01-02,35.3,11.74,0,23,0,58392,78829,1813067,37627,0,432423
2024-01-01,Premium_Urban,Q1,14:00-15:00,Sushi Box,RTE,2024-01-02,33.8,1.09,0,4,0,62330,84145,336580,35203,0,52056
2024-01-01,Premium_Urban,Q1,15:00-16:00,Sushi Box,RTE,2024-01-02,33.7,0.64,0,2,0,66562,89858,179716,35319,0,11272
2024-01-01,Premium_Urban,Q1,16:00-17:00,Sushi Box,RTE,2024-01-02,32.3,0.42,0,1,0,52563,70960,70960,31819,0,-13422
2024-01-01,Premium_Urban,Q1,17:00-18:00,Sushi Box,RTE,2024-01-02,29.4,0.87,0,0,0,63640,85914,0,27374,0,-27374
2024-01-01,Premium_Urban,Q1,18:00-19:00,Sushi Box,RTE,2024-01-02,28.7,1.12,0,0,0,58262,78653,0,25738,0,-25738
2024-01-01,Premium_Urban,Q1,19:00-20:00,Sushi Box,RTE,2024-01-02,25.4,0.95,0,0,0,57860,78111,0,19770,0,-19770
2024-01-01,Premium_Urban,Q1,20:00-21:00,Sushi Box,RTE,2024-01-02,24.1,1.08,0,0,0,59163,79870,0,17521,0,-17521
2024-01-01,Premium_Urban,Q1,21:00-22:00,Sushi Box,RTE,2024-01-02,22.6,0.58,0,0,0,64718,87369,0,15210,0,-15210
2024-01-01,Residential,Q7,6:00-7:00,Pork Belly,Meat,2024-01-03,28.4,0.7,92,2,0,76815,103700,207400,26497,0,27272
2024-01-01,Residential,Q7,7:00-8:00,Pork Belly,Meat,2024-01-03,29.9,1.05,0,4,0,45984,62078,248312,27038,0,37337
2024-01-01,Residential,Q7,8:00-9:00,Pork Belly,Meat,2024-01-03,32.0,0.72,0,1,0,65972,89062,89062,32218,0,-9128
2024-01-01,Residential,Q7,9:00-10:00,Pork Belly,Meat,2024-01-03,32.2,1.11,0,2,0,38158,51513,103026,30631,0,-3921
2024-01-01,Residential,Q7,10:00-11:00,Pork Belly,Meat,2024-01-03,34.7,0.75,0,1,0,82809,111792,111792,38256,0,-9273
2024-01-01,Residential,Q7,11:00-12:00,Pork Belly,Meat,2024-01-03,34.4,0.91,0,2,0,41106,55493,110986,34797,0,-6023
2024-01-01,Residential,Q7,12:00-13:00,Pork Belly,Meat,2024-01-03,34.4,0.59,0,2,0,56476,76242,152484,35873,0,3658
2024-01-01,Residential,Q7,13:00-14:00,Pork Belly,Meat,2024-01-03,34.3,0.55,0,1,0,62212,83986,83986,36094,0,-14320
2024-01-01,Residential,Q7,14:00-15:00,Pork Belly,Meat,2024-01-03,34.0,0.89,0,2,0,52585,70989,141978,34880,0,1927
2024-01-01,Residential,Q7,15:00-16:00,Pork Belly,Meat,2024-01-03,32.3,0.63,0,1,0,56161,75817,75817,32071,0,-12415
2024-01-01,Residential,Q7,16:00-17:00,Pork Belly,Meat,2024-01-03,32.1,8.1,0,16,0,67934,91710,1467360,32535,0,347880
2024-01-01,Residential,Q7,17:00-18:00,Pork Belly,Meat,2024-01-03,30.2,8.66,0,17,0,63795,86123,1464091,28825,0,350750
2024-01-01,Residential,Q7,18:00-19:00,Pork Belly,Meat,2024-01-03,28.5,11.74,0,41,0,55063,74335,3047735,25154,0,764997
2024-01-01,Residential,Q7,19:00-20:00,Pork Belly,Meat,2024-01-03,26.3,0.83,0,0,0,59553,80396,0,21508,0,-21508
2024-01-01,Residential,Q7,20:00-21:00,Pork Belly,Meat,2024-01-03,24.3,0.7,0,0,0,58778,79350,0,17854,0,-17854
2024-01-01,Residential,Q7,21:00-22:00,Pork Belly,Meat,2024-01-03,23.1,0.84,0,0,0,80849,109146,0,17239,0,-17239
2024-01-01,Residential,Q7,6:00-7:00,Fresh Milk,Dairy,2024-01-06,28.6,0.7,101,2,0,52759,71224,142448,25173,0,11756
2024-01-01,Residential,Q7,7:00-8:00,Fresh Milk,Dairy,2024-01-06,29.5,1.05,0,4,0,41309,55767,223068,25991,0,31840
2024-01-01,Residential,Q7,8:00-9:00,Fresh Milk,Dairy,2024-01-06,30.8,0.72,0,2,0,47210,63733,127466,28744,0,4301
2024-01-01,Residential,Q7,9:00-10:00,Fresh Milk,Dairy,2024-01-06,33.4,1.11,0,3,0,69102,93287,279861,34957,0,37597
2024-01-01,Residential,Q7,10:00-11:00,Fresh Milk,Dairy,2024-01-06,35.1,0.75,0,2,0,70156,94710,189420,38090,0,11017
